Age,Expectancy
0-1,74.3
1-2,73.8
2-3,72.9
3-4,71.9
4-5,70.9
5-6,69.9
6-7,68.9
7-8,68.0
8-9,67.0
9-10,66.0
10-11,65.0
11-12,64.0
12-13,63.0
13-14,62.0
14-15,61.0
15-16,60.1
16-17,59.1
17-18,58.1
18-19,57.2
19-20,56.3
20-21,55.3
21-22,54.4
22-23,53.5
23-24,52.5
24-25,51.6
25-26,50.7
26-27,49.8
27-28,48.8
28-29,47.9
29-30,47.0
30-31,46.0
31-32,45.1
32-33,44.2
33-34,43.2
34-35,42.3
35-36,41.4
36-37,40.4
37-38,39.5
38-39,38.6
39-40,37.7
40-41,36.8
41-42,35.9
42-43,35.0
43-44,34.1
44-45,33.2
45-46,32.3
46-47,31.4
47-48,30.6
48-49,29.7
49-50,28.8
50-51,28.0
51-52,27.1
52-53,26.3
53-54,25.5
54-55,24.6
55-56,23.8
56-57,23.0
57-58,22.2
58-59,21.4
59-60,20.6
60-61,19.9
61-62,19.1
62-63,18.4
63-64,17.7
64-65,16.9
65-66,16.2
66-67,15.5
67-68,14.9
68-69,14.2
69-70,13.5
70-71,12.9
71-72,12.3
72-73,11.7
73-74,11.1
74-75,10.5
75-76,9.9
76-77,9.4
77-78,8.9
78-79,8.4
79-80,7.9
80-81,7.4
81-82,6.9
82-83,6.5
83-84,6.1
84-85,5.7
85-86,5.3
86-87,5.0
87-88,4.6
88-89,4.3
89-90,4.0
90-91,3.8
91-92,3.5
92-93,3.3
93-94,3.1
94-95,2.9
95-96,2.7
96-97,2.5
97-98,2.4
98-99,2.3
99-100,2.1
100 and over,2.0
,
