Age,Expectancy
0-1,68.5
1-2,68.5
2-3,67.6
3-4,66.6
4-5,65.6
5-6,64.7
6-7,63.7
7-8,62.7
8-9,61.7
9-10,60.7
10-11,59.7
11-12,58.8
12-13,57.8
13-14,56.8
14-15,55.8
15-16,54.8
16-17,53.9
17-18,52.9
18-19,52.0
19-20,51.1
20-21,50.2
21-22,49.3
22-23,48.4
23-24,47.5
24-25,46.6
25-26,45.7
26-27,44.9
27-28,44.0
28-29,43.1
29-30,42.2
30-31,41.3
31-32,40.4
32-33,39.5
33-34,38.6
34-35,37.7
35-36,36.8
36-37,35.9
37-38,35.1
38-39,34.2
39-40,33.3
40-41,32.4
41-42,31.6
42-43,30.7
43-44,29.9
44-45,29.1
45-46,28.2
46-47,27.4
47-48,26.6
48-49,25.9
49-50,25.1
50-51,24.3
51-52,23.6
52-53,22.8
53-54,22.1
54-55,21.4
55-56,20.7
56-57,20.0
57-58,19.3
58-59,18.6
59-60,18.0
60-61,17.3
61-62,16.7
62-63,16.0
63-64,15.4
64-65,14.8
65-66,14.2
66-67,13.6
67-68,13.0
68-69,12.5
69-70,11.9
70-71,11.4
71-72,10.9
72-73,10.4
73-74,9.9
74-75,9.4
75-76,9.0
76-77,8.5
77-78,8.1
78-79,7.7
70-80,7.3
80-81,6.9
81-82,6.6
82-83,6.2
83-84,5.9
84-85,5.6
85-86,5.3
86-87,5.0
87-88,4.8
88-89,4.5
89-90,4.3
90-91,4.1
91-92,3.9
92-93,3.7
93-94,3.5
94-95,3.3
95-96,3.1
96-97,3.0
97-98,2.8
98-99,2.7
99-100,2.6
100 and over,2.5
