Age,Expectancy
0-1,74.9
1-2,74.3
2-3,73.4
3-4,72.4
4-5,71.4
5-6,70.4
6-7,69.5
7-8,68.5
8-9,67.5
9-10,66.5
10-11,65.5
11-12,64.5
12-13,63.5
13-14,62.5
14-15,61.5
15-16,60.6
16-17,59.6
17-18,58.6
18-19,57.7
19-20,56.7
20-21,55.8
21-22,54.9
22-23,53.9
23-24,53.0
24-25,52.1
25-26,51.2
26-27,50.2
27-28,49.3
28-29,48.3
29-30,47.4
30-31,46.5
31-32,45.5
32-33,44.6
33-34,43.6
34-35,42.7
35-36,41.8
36-37,40.8
37-38,39.9
38-39,39.0
39-40,38.1
40-41,37.1
41-42,36.2
42-43,35.3
43-44,34.4
44-45,33.5
45-46,32.6
46-47,31.7
47-48,30.9
48-49,30.0
49-50,29.1
50-51,28.3
51-52,27.4
52-53,26.6
53-54,25.7
54-55,24.9
55-56,24.0
56-57,23.2
57-58,22.4
58-59,21.6
59-60,20.8
60-61,20.0
61-62,19.3
62-63,18.5
63-64,17.8
64-65,17.1
65-66,16.3
66-67,15.6
67-68,14.9
68-69,14.3
69-70,13.6
70-71,13.0
71-72,12.3
72-73,11.7
73-74,11.1
74-75,10.5
75-76,10.0
76-77,9.4
77-78,8.9
78-79,8.4
70-80,7.9
80-81,7.4
81-82,6.9
82-83,6.5
83-84,6.1
84-85,5.7
85-86,5.3
86-87,4.9
87-88,4.6
88-89,4.3
89-90,4.0
90-91,3.7
91-92,3.5
92-93,3.2
93-94,3.0
94-95,2.8
95-96,2.7
96-97,2.5
97-98,2.3
98-99,2.2
99-100,2.1
100 and over,2.0
